Animal's Name,License Issue Date,License Number,Primary Breed,Secondary Breed,Species,ZIP Code
Marlo,2015-04-08T00:00:00.000,212042,Lhasa Apso,,Dog,98106
Buddy,2015-06-14T00:00:00.000,130375,"Spaniel, Welsh Springer",,Dog,98105
CeeCee,2015-06-26T00:00:00.000,568855,Domestic Shorthair,,Cat,98199
Megan,2015-03-17T00:00:00.000,123587,Domestic Medium Hair,,Cat,98112
Stella Luna,2015-02-13T00:00:00.000,954051,Domestic Shorthair,,Cat,98105
Lucy,2015-01-22T00:00:00.000,21763,Domestic Shorthair,,Cat,98115
Beau,2015-05-08T00:00:00.000,359802,"Retriever, Golden","Poodle, Standard",Dog,98177
Jessie,2015-03-13T00:00:00.000,74411,Domestic Shorthair,,Cat,98119
Oliver,2015-05-16T00:00:00.000,361193,"Poodle, Miniature",,Dog,98107
TinkerBelle,2015-01-15T00:00:00.000,25481,Terrier,Mix,Dog,98146
Abby,2015-01-15T00:00:00.000,25494,"Retriever, Golden",,Dog,98117
Ozzy,2015-01-15T00:00:00.000,25705,Newfoundland,,Dog,98136
Minerva,2015-02-19T00:00:00.000,77017,LaPerm,,Cat,98103
Maggie,2015-02-03T00:00:00.000,81310,"Welsh Corgi, Pembroke",,Dog,98115
Jack Sparrow,2015-03-02T00:00:00.000,77150,Domestic Longhair,,Cat,98136
Jay,2015-03-17T00:00:00.000,137703,Greyhound,,Dog,98136
Bugsey,2015-03-11T00:00:00.000,80272,Great Dane,"Retriever, Labrador",Dog,98199
Madison,2015-03-02T00:00:00.000,133626,Domestic Medium Hair,,Cat,98115
Levi,2015-04-08T00:00:00.000,138178,"Bulldog, French",,Dog,98117
Whiskers,2015-05-08T00:00:00.000,351715,"Terrier, Border",,Dog,98117
Parker,2015-04-10T00:00:00.000,212836,Spaniel,"Pointer, German Shorthaired",Dog,98136
Coraline,2015-05-05T00:00:00.000,280501,German Shepherd,"Terrier, American Staffordshire",Dog,98126
Keno,2015-05-12T00:00:00.000,359962,"Pointer, German Shorthaired",,Dog,98136
Lucy Loo,2015-06-19T00:00:00.000,357109,Border Collie,Spaniel,Dog,98112
Cori,2015-05-19T00:00:00.000,354847,"Pointer, German Shorthaired",,Dog,98126
Bruno,2015-04-07T00:00:00.000,202015,Pug,,Dog,98101
Playa,2015-01-17T00:00:00.000,959895,"Vizsla, Smooth Haired",Shepherd,Dog,98122
P J,2015-01-23T00:00:00.000,26121,"Schnauzer, Miniature",Mix,Dog,98103
Marlo,2015-04-01T00:00:00.000,128829,Domestic Shorthair,,Cat,98199
Johnny,2015-01-30T00:00:00.000,15908,"Retriever, Golden",,Dog,98126
Sunny D,2015-05-16T00:00:00.000,134075,Domestic Longhair,,Cat,98133
Maverick,2015-03-17T00:00:00.000,139034,Whippet,,Dog,98109
Echo,2015-01-12T00:00:00.000,421619,"Retriever, Labrador",Mix,Dog,98105
Dolly,2015-05-12T00:00:00.000,902935,"Retriever, Golden",,Dog,98126
Brownie,2015-02-04T00:00:00.000,81056,"Dachshund, Standard Smooth Haired",,Dog,98126
Riley,2015-04-16T00:00:00.000,127420,Border Collie,,Dog,98126
Lady,2015-02-24T00:00:00.000,,Border Collie,,Dog,98106
Yola Bean,2015-03-05T00:00:00.000,125575,Basset Hound,,Dog,98133
Mitsy,2015-03-04T00:00:00.000,131150,"Terrier, Scottish",,Dog,98105
Popcorn,2015-02-10T00:00:00.000,72286,Domestic Shorthair,,Cat,98112
Gomaichi,2015-04-30T00:00:00.000,214075,Maltese,"Poodle, Toy",Dog,98102
Luna,2015-01-14T00:00:00.000,22538,Domestic Shorthair,,Cat,98121
Maddie,2015-01-30T00:00:00.000,22535,Domestic Longhair,,Cat,98115
Mambo Chu,2015-04-08T00:00:00.000,897644,Domestic Shorthair,,Cat,98118
Nathan,2015-01-15T00:00:00.000,959898,Great Dane,,Dog,98107
,2015-02-12T00:00:00.000,26899,"Retriever, Labrador","Terrier, American Pit Bull",Dog,98103
Cody,2015-02-17T00:00:00.000,29760,Xoloitzcuintli,,Dog,98177
Lulu,2015-01-14T00:00:00.000,27164,Shiba Inu,,Dog,98115
Raches,2015-05-26T00:00:00.000,22594,Domestic Shorthair,,Cat,98126
Luna,2015-03-18T00:00:00.000,957463,"Retriever, Labrador",Mix,Dog,98122
Sakura,2015-05-19T00:00:00.000,268528,Domestic Shorthair,,Cat,98144
,2015-01-13T00:00:00.000,949713,Domestic Medium Hair,,Cat,98103
Bailey,2015-02-25T00:00:00.000,83052,Havanese,Mix,Dog,98109
Frosty,2015-03-06T00:00:00.000,77554,Domestic Shorthair,,Cat,98117
Cole,2015-06-10T00:00:00.000,82533,"Poodle, Standard",,Dog,98103
Spencer Lehman,2015-02-24T00:00:00.000,82637,"Poodle, Miniature",Terrier,Dog,98107
Jacques,2015-03-04T00:00:00.000,82750,"Poodle, Miniature","Terrier, Airedale",Dog,98117
Rory,2015-06-12T00:00:00.000,77714,Domestic Medium Hair,,Cat,98115
Jazz,2015-05-26T00:00:00.000,139401,Havanese,,Dog,98112
Ziggy,2015-03-04T00:00:00.000,139580,"Poodle, Standard",Portuguese Water Dog,Dog,98102
Sandy,2015-01-22T00:00:00.000,28395,Terrier,Mix,Dog,98144
Jingles,2015-04-15T00:00:00.000,208563,Domestic Shorthair,,Cat,98133
Gigot,2015-04-28T00:00:00.000,214649,"Dachshund, Standard Smooth Haired",,Dog,98178
Sasha,2015-04-14T00:00:00.000,214693,"Chihuahua, Long Coat",,Dog,98103
Chaquo,2015-04-07T00:00:00.000,215684,"Poodle, Miniature",Terrier,Dog,98107
CC,2015-04-14T00:00:00.000,215670,"Retriever, Labrador","Poodle, Miniature",Dog,98103
Watson,2015-05-19T00:00:00.000,283056,"Dachshund, Standard Smooth Haired",Beagle,Dog,98107
Sita,2015-02-04T00:00:00.000,16007,"Retriever, Golden",,Dog,98105
Betty,2015-02-17T00:00:00.000,,"Chihuahua, Short Coat",,Dog,98136
Denali,2015-05-20T00:00:00.000,358610,"Retriever, Labrador",,Dog,98105
Glitzy,2015-06-03T00:00:00.000,444175,Domestic Shorthair,,Cat,98108
Mishu,2015-01-02T00:00:00.000,953411,Domestic Shorthair,,Cat,98117
Trace,2015-04-06T00:00:00.000,213856,"Dachshund, Miniature Smooth Haired",,Dog,98122
Mr. Peabody,2015-05-26T00:00:00.000,274395,Maltese,,Dog,98126
Daisy Cola,2015-05-21T00:00:00.000,274128,Doberman Pinscher,Hound,Dog,98125
Abby,2015-05-04T00:00:00.000,349808,Bengal,,Cat,98103
Noodle,2015-05-07T00:00:00.000,346533,Domestic Shorthair,,Cat,98107
Bexley,2015-04-07T00:00:00.000,585849,"Retriever, Golden","Collie, Rough",Dog,98103
Baxter,2015-05-19T00:00:00.000,361260,"Terrier, Rat",,Dog,98133
Fia,2015-05-22T00:00:00.000,278307,Norwegian Elkhound,,Dog,98109
Mirabella,2015-06-06T00:00:00.000,272987,Domestic Medium Hair,,Cat,98144
Melow,2015-02-24T00:00:00.000,960553,"Retriever, Golden","Poodle, Standard",Dog,98115
Pangur Ban,2015-02-02T00:00:00.000,953003,American Shorthair,,Cat,98103
Kuma,2015-02-24T00:00:00.000,86261,"Retriever, Labrador",,Dog,98126
Louie,2015-02-03T00:00:00.000,953857,LaPerm,,Cat,98117
Yoshi,2015-02-08T00:00:00.000,84099,"Terrier, American Pit Bull",,Dog,98144
Two Tone,2015-03-16T00:00:00.000,140316,Great Dane,Pointer,Dog,98133
Freya,2015-03-13T00:00:00.000,904517,Australian Shepherd,"Retriever, Labrador",Dog,98136
Max,2015-06-09T00:00:00.000,359426,Boxer,,Dog,98117
Velvet,2015-06-02T00:00:00.000,135523,Shih Tzu,Bichon Frise,Dog,98118
Mimi,2015-05-12T00:00:00.000,271067,Exotic Shorthair,Domestic Shorthair,Cat,98117
Jace,2015-03-13T00:00:00.000,135981,"Spaniel, Welsh Springer",Mix,Dog,98118
Lucy,2015-03-16T00:00:00.000,900650,German Shepherd,Mix,Dog,98116
R J,2015-05-18T00:00:00.000,904875,Rhodesian Ridgeback,,Dog,98178
Hobbes,2015-04-02T00:00:00.000,957237,"Terrier, Jack Russell","Chihuahua, Short Coat",Dog,98101
Milo,2015-02-03T00:00:00.000,13808,Domestic Shorthair,,Cat,98125
Riley Rose,2015-04-15T00:00:00.000,83442,Havanese,Bichon Frise,Dog,98177
Rocky,2015-02-27T00:00:00.000,84306,Australian Shepherd,,Dog,98109
Ari,2015-05-04T00:00:00.000,216771,"Retriever, Golden","Spaniel, American Cocker",Dog,98107
Luna,2015-02-04T00:00:00.000,957613,"Retriever, Labrador",,Dog,98115
Firecracker,2015-01-31T00:00:00.000,23713,Xoloitzcuintli,,Dog,98199
Archie,2015-01-27T00:00:00.000,24132,Terrier,Mix,Dog,98199
Soloman,2015-03-18T00:00:00.000,129787,Domestic Shorthair,,Cat,98115
Pip,2015-06-04T00:00:00.000,27200,"Terrier, Border",,Dog,98112
Cooper,2015-01-30T00:00:00.000,79545,"Poodle, Miniature","Spaniel, American Cocker",Dog,98199
Luna,2015-06-07T00:00:00.000,74492,Siamese,Mix,Cat,98126
Oliver,2015-05-26T00:00:00.000,358476,"Retriever, Golden",,Dog,98199
Melon,2015-04-09T00:00:00.000,133006,Domestic Shorthair,,Cat,98177
Kelly,2015-04-10T00:00:00.000,136347,"Schnauzer, Standard",,Dog,98106
Gary,2015-06-10T00:00:00.000,282641,Domestic Shorthair,,Cat,98107
Widgit,2015-03-24T00:00:00.000,127357,"Terrier, Cairn",,Dog,98105
Ernie,2015-03-26T00:00:00.000,141299,"Welsh Corgi, Pembroke",,Dog,98107
Uli,2015-04-01T00:00:00.000,131001,Pug,,Dog,98103
Harry,2015-03-26T00:00:00.000,127874,Domestic Shorthair,,Cat,98107
Maggie,2015-05-15T00:00:00.000,205688,"Schnauzer, Miniature",,Dog,98103
Zeus,2015-05-21T00:00:00.000,216783,Great Pyrenees,"Retriever, Golden",Dog,98107
Topper,2015-05-21T00:00:00.000,283996,German Shepherd,,Dog,98116
Senna,2015-05-19T00:00:00.000,284827,"Retriever, Golden",,Dog,98117
Meadow,2015-06-25T00:00:00.000,359624,Maltese,"Poodle, Miniature",Dog,98122
Elsa,2015-01-02T00:00:00.000,29819,Saint Bernard,,Dog,98119
Bowie,2015-01-06T00:00:00.000,29957,Australian Shepherd,Border Collie,Dog,98117
Enzo,2015-01-07T00:00:00.000,29901,"Retriever, Labrador",,Dog,98109
Robin,2015-01-08T00:00:00.000,961478,"Retriever, Labrador",Australian Cattle Dog,Dog,98103
Chaiya,2015-01-08T00:00:00.000,961460,Xoloitzcuintli,,Dog,98112
Charlie,2015-01-12T00:00:00.000,,"Retriever, Labrador","Poodle, Standard",Dog,98199
Tes,2015-01-14T00:00:00.000,30150,"Chihuahua, Short Coat","Retriever, Labrador",Dog,98105
Dutch,2015-01-14T00:00:00.000,28729,Domestic Shorthair,,Cat,98117
Percy,2015-01-15T00:00:00.000,964715,Domestic Longhair,,Cat,98115
Stitch,2015-01-15T00:00:00.000,964733,Domestic Shorthair,,Cat,98102
Virgil,2015-01-20T00:00:00.000,28740,Domestic Shorthair,,Cat,98117
CoCo,2015-01-26T00:00:00.000,,Beagle,Terrier,Dog,98136
Vinnie,2015-01-27T00:00:00.000,30034,"Terrier, Yorkshire",Miniature Pinscher,Dog,98102
Gino,2015-01-30T00:00:00.000,30248,"Retriever, Labrador",,Dog,98178
Bo,2015-02-03T00:00:00.000,29747,Rottweiler,,Dog,98105
Mishka,2015-02-04T00:00:00.000,84566,Pomeranian,Papillon,Dog,98115
Sophie,2015-02-06T00:00:00.000,85314,Beagle,Terrier,Dog,98133
Pancho,2015-02-07T00:00:00.000,85147,Domestic Shorthair,,Cat,98177
Acorn,2015-02-20T00:00:00.000,85461,"Chihuahua, Short Coat",Pug,Dog,98108
Boomer,2015-02-12T00:00:00.000,86092,"Retriever, Labrador",Mix,Dog,98133
Pepper,2015-03-18T00:00:00.000,953323,Domestic Shorthair,,Cat,98146
Maxim,2015-01-22T00:00:00.000,953484,Domestic Medium Hair,,Cat,98122
Bella,2015-04-09T00:00:00.000,214588,"Retriever, Golden",,Dog,98115
Lucy,2015-05-03T00:00:00.000,358654,Pug,,Dog,98115
Lakka,2015-02-26T00:00:00.000,86269,Xoloitzcuintli,,Dog,98115
Cheddar,2015-02-26T00:00:00.000,84417,Border Collie,"Retriever, Labrador",Dog,98177
,2015-03-14T00:00:00.000,731169,Domestic Shorthair,,Cat,98116
Aslan,2015-06-27T00:00:00.000,444967,Domestic Medium Hair,,Cat,98122
Willow,2015-03-10T00:00:00.000,141449,Weimaraner,,Dog,98122
Luna,2015-05-27T00:00:00.000,731178,Alaskan Malamute,,Dog,98199
Diamond,2015-03-11T00:00:00.000,142059,Pug,Mix,Dog,98125
Mili,2015-03-16T00:00:00.000,141726,Australian Shepherd,"Poodle, Miniature",Dog,98119
Sophie,2015-03-17T00:00:00.000,141734,Xoloitzcuintli,,Dog,98199
Scully,2015-03-17T00:00:00.000,142249,Domestic Shorthair,,Cat,98109
Kadin,2015-03-18T00:00:00.000,141739,"Retriever, Labrador",,Dog,98121
Milo,2015-03-18T00:00:00.000,132670,"Terrier, Silky",,Dog, 
Lola,2015-03-19T00:00:00.000,217813,Pug,,Dog,98125
Ducky G,2015-03-26T00:00:00.000,83294,American Shorthair,,Cat,98104
Lowkey,2015-03-27T00:00:00.000,141867,"Terrier, American Pit Bull",,Dog,98144
Emily,2015-04-04T00:00:00.000,142515,"Terrier, Yorkshire",,Dog,98115
Lydia,2015-04-06T00:00:00.000,142640,Whippet,,Dog,98102
Wren,2015-04-08T00:00:00.000,216824,Rhodesian Ridgeback,"Vizsla, Smooth Haired",Dog,98117
Lambeau,2015-04-09T00:00:00.000,142815,"Terrier, American Staffordshire",,Dog,98109
Kingston,2015-04-10T00:00:00.000,212477,"Retriever, Golden",,Dog,98126
Lillian,2015-04-16T00:00:00.000,142790,Snowshoe,,Cat,98126
Sherlock,2015-04-21T00:00:00.000,84785,Beagle,,Dog,98106
Hachi,2015-04-21T00:00:00.000,142991,Pekingese,Mix,Dog,98133
Gabi,2015-04-22T00:00:00.000,216870,Doberman Pinscher,,Dog,98144
Bender,2015-04-22T00:00:00.000,142075,Domestic Shorthair,,Cat,98103
Mr. Muggles,2015-04-24T00:00:00.000,141581,Pug,,Dog,98109
Kip,2015-04-29T00:00:00.000,142495,"Dachshund, Standard Smooth Haired",,Dog,98118
Bandit,2015-05-01T00:00:00.000,84808,"Retriever, Labrador",Shepherd,Dog,98109
Meera,2015-05-04T00:00:00.000,361123,Siamese,,Cat,98109
Sally Mae,2015-05-05T00:00:00.000,359686,German Shepherd,,Dog,98177
Krissi,2015-05-06T00:00:00.000,214337,"Retriever, Golden",,Dog,98119
Joey,2015-05-08T00:00:00.000,284983,Australian Shepherd,Mix,Dog,98103
Luna,2015-05-14T00:00:00.000,361035,Domestic Medium Hair,,Cat,98112
Sunday,2015-05-15T00:00:00.000,361189,Siamese,,Cat,98105
Licorice,2015-05-19T00:00:00.000,361272,"Terrier, Rat",,Dog,98115
Daisy,2015-05-20T00:00:00.000,361339,Havanese,Mix,Dog,98118
Rollie,2015-05-21T00:00:00.000,361382,Domestic Shorthair,,Cat,98115
Libby,2015-05-26T00:00:00.000,444535,Beagle,Border Collie,Dog,98199
Monchitas,2015-01-29T00:00:00.000,19342,Domestic Shorthair,,Cat,98116
Lando,2015-01-27T00:00:00.000,24384,"Schnauzer, Miniature",,Dog,98199
Hunter,2015-01-12T00:00:00.000,22400,Domestic Shorthair,,Cat, 
Frieda,2015-02-04T00:00:00.000,79543,"Dachshund, Standard Smooth Haired",,Dog,98119
Sookie,2015-02-26T00:00:00.000,80987,Italian Greyhound,,Dog,98109
Bender,2015-06-30T00:00:00.000,437748,"Retriever, Labrador",,Dog,98107
Minnie,2015-06-16T00:00:00.000,576798,Basenji,Miniature Pinscher,Dog,98144
Svemir,2015-05-27T00:00:00.000,361462,Ragdoll,,Cat,98125
Tinkerbelle,2015-05-27T00:00:00.000,361482,Domestic Shorthair,,Cat,98144
Jim Beam,2015-06-10T00:00:00.000,215000,Domestic Medium Hair,,Cat,98122
Sonny,2015-06-17T00:00:00.000,444859,Xoloitzcuintli,,Dog,98117
Hank,2015-06-22T00:00:00.000,731417,Beagle,,Dog,98134
Cash,2015-06-23T00:00:00.000,731494,Boxer,,Dog,98103
Zahtim,2015-06-24T00:00:00.000,444879,Domestic Shorthair,,Cat,98109
Patsy,2015-06-30T00:00:00.000,284732,Maine Coon,Mix,Cat,98115
Rommy,2015-06-30T00:00:00.000,731557,Shih Tzu,,Dog,98108
Balto,2015-06-30T00:00:00.000,731576,Bouvier des Flandres,,Dog,98118
Rufus,2015-06-30T00:00:00.000,284782,Domestic Shorthair,,Cat,98107
Pippin,2015-04-27T00:00:00.000,211075,"Retriever, Labrador","Poodle, Standard",Dog,98112
,2015-05-19T00:00:00.000,350314,Domestic Shorthair,,Cat,98115
McLovin,2015-01-28T00:00:00.000,900890,"Poodle, Toy",,Dog,98155
Penny,2015-05-26T00:00:00.000,278668,Bulldog,"Bulldog, French",Dog,98199
Mosie,2015-05-11T00:00:00.000,355133,"Chihuahua, Short Coat",Mix,Dog,98125
Lola,2015-05-05T00:00:00.000,355833,"Retriever, Labrador","Poodle, Standard",Dog,98136
Zsuska,2015-02-03T00:00:00.000,82781,Kuvasz,,Dog,98126
Jilli,2015-05-07T00:00:00.000,274006,Havanese,,Dog,98116
Spikey,2015-05-12T00:00:00.000,266167,"Retriever, Labrador",Mix,Dog,98116
Nellie Mae,2015-06-23T00:00:00.000,733456,"Terrier, Jack Russell",,Dog,98112
Ellie,2015-06-24T00:00:00.000,358584,"Poodle, Standard",,Dog,98126
Rufus,2015-01-21T00:00:00.000,950144,Belgian Sheepdog,Border Collie,Dog,98144
Pearl,2015-04-21T00:00:00.000,16270,"Poodle, Miniature",,Dog,98117
Cricket,2015-05-22T00:00:00.000,282694,Domestic Shorthair,,Cat,98118
Freya,2015-01-16T00:00:00.000,960496,Shepherd,Mix,Dog,98117
Marco,2015-06-30T00:00:00.000,433670,Domestic Shorthair,,Cat,98102
Kylie,2015-01-30T00:00:00.000,21431,American Eskimo,Mix,Dog,98105
Reggie,2015-06-12T00:00:00.000,68807,Domestic Shorthair,,Cat,98108
The Dude,2015-03-04T00:00:00.000,137251,"Retriever, Flat-Coated",Australian Shepherd,Dog,98118
Oliver,2015-04-09T00:00:00.000,212020,"Terrier, American Pit Bull",Doberman Pinscher,Dog,98107
Boone,2015-04-30T00:00:00.000,199792,Portuguese Water Dog,,Dog,98118
Harry,2015-01-29T00:00:00.000,954084,Siamese,Domestic Medium Hair,Cat,98117
Jake,2015-05-07T00:00:00.000,354343,"Retriever, Golden","Poodle, Miniature",Dog,98117
Sparkles,2015-03-31T00:00:00.000,137544,Shih Tzu,,Dog,98115
Cassidy,2015-05-09T00:00:00.000,270558,"Retriever, Golden",,Dog,98103
Agnes Grace,2015-05-05T00:00:00.000,353248,LaPerm,,Cat,98102
Mia,2015-01-20T00:00:00.000,13878,Domestic Medium Hair,,Cat,98126
Paddington,2015-02-02T00:00:00.000,946873,"Retriever, Labrador","Poodle, Miniature",Dog,98102
Diego,2015-01-30T00:00:00.000,21768,Domestic Medium Hair,,Cat,98199
Johnny Boots,2015-02-03T00:00:00.000,77040,Domestic Shorthair,,Cat,98117
Emerson,2015-03-13T00:00:00.000,74410,Domestic Shorthair,,Cat,98119
Max,2015-05-08T00:00:00.000,279923,"Schnauzer, Giant","Poodle, Standard",Dog,98117
Oscar,2015-01-02T00:00:00.000,958936,"Griffon, Brussels",,Dog,98103
Lexie,2015-06-19T00:00:00.000,350421,Domestic Shorthair,,Cat,98119
Cleo,2015-02-10T00:00:00.000,73387,Domestic Shorthair,,Cat,98103
Bella,2015-02-09T00:00:00.000,75345,"Terrier, Boston",,Dog,98119
Sweetheart,2015-02-25T00:00:00.000,953555,Domestic Shorthair,,Cat,98109
Hunter,2015-02-06T00:00:00.000,959006,"Retriever, Labrador",Mix,Dog,98126
Ebi,2015-02-20T00:00:00.000,954176,Domestic Medium Hair,,Cat,98102
Fred,2015-01-20T00:00:00.000,25325,Hound,Mix,Dog,98119
Fancy Pants,2015-01-12T00:00:00.000,21903,LaPerm,,Cat,98118
Fitzgerald,2015-01-30T00:00:00.000,22419,Domestic Shorthair,,Cat,98122
Jeremy,2015-02-10T00:00:00.000,74414,Domestic Shorthair,,Cat,98115
Oslo,2015-02-17T00:00:00.000,81443,"Retriever, Labrador",,Dog,98107
Luke,2015-02-18T00:00:00.000,,"Pointer, German Shorthaired",,Dog,98177
Walter,2015-03-06T00:00:00.000,138002,"Terrier, Yorkshire",,Dog,98117
Hailey,2015-04-25T00:00:00.000,212625,Siberian Husky,,Dog,98117
Esmae,2015-03-12T00:00:00.000,138218,Lhasa Apso,Mix,Dog,98115
Max,2015-04-28T00:00:00.000,212738,"Retriever, Labrador","Poodle, Standard",Dog,98164
Roddy Johnelway Jesus Santino Manbahr,2015-03-26T00:00:00.000,958634,"Terrier, American Pit Bull",,Dog,98117
Dudley,2015-02-03T00:00:00.000,25464,Domestic Shorthair,,Cat,98121
Baxter,2015-01-12T00:00:00.000,25745,"Retriever, Labrador",Mix,Dog,98122
Chase,2015-03-05T00:00:00.000,84296,Boxer,German Shepherd,Dog,98177
Lola,2015-06-06T00:00:00.000,80942,"Pointer, German Shorthaired",Mix,Dog,98199
Izzy,2015-02-10T00:00:00.000,81366,"Retriever, Labrador",Beagle,Dog,98108
Cole,2015-02-03T00:00:00.000,74420,Domestic Longhair,,Cat,98117
Oliver,2015-02-05T00:00:00.000,81336,"Retriever, Golden",,Dog,98116
Antigone,2015-02-10T00:00:00.000,81253,Xoloitzcuintli,,Dog,98115
Lolly,2015-03-20T00:00:00.000,137976,Terrier,"Poodle, Miniature",Dog,98122
Django,2015-05-26T00:00:00.000,278046,Border Collie,"Retriever, Labrador",Dog,98116
Kirin,2015-05-15T00:00:00.000,281023,Great Dane,,Dog,98122
Ellie,2015-05-12T00:00:00.000,281074,Pug,Pekingese,Dog,98105
Emma,2015-05-08T00:00:00.000,356942,"Retriever, Golden",Mix,Dog,98115
Barkley,2015-05-14T00:00:00.000,357106,Pomeranian,Mix,Dog,98106
April,2015-06-27T00:00:00.000,352270,Terrier,Mix,Dog,98117
Kiska,2015-04-07T00:00:00.000,213211,"Retriever, Labrador",Border Collie,Dog,98144
River,2015-05-12T00:00:00.000,213252,"Dachshund, Standard Smooth Haired",,Dog,98177
Woody,2015-04-28T00:00:00.000,214469,"Retriever, Labrador",,Dog,98177
Millie,2015-05-19T00:00:00.000,361330,Shih Tzu,Pomeranian,Dog,98119
Tina,2015-06-01T00:00:00.000,276693,Domestic Shorthair,,Cat,98115
Fleurie,2015-06-19T00:00:00.000,350621,Domestic Shorthair,,Cat,98112
Sadie,2015-05-06T00:00:00.000,357029,"Retriever, Golden",,Dog,98117
Smudge,2015-05-26T00:00:00.000,350615,Domestic Longhair,,Cat,98136
Ginger,2015-06-30T00:00:00.000,357523,"Retriever, Golden","Poodle, Standard",Dog,98115
Goldie,2015-05-09T00:00:00.000,356476,Domestic Medium Hair,,Cat,98126
Dominic,2015-06-16T00:00:00.000,441141,"Collie, Rough","Retriever, Labrador",Dog,98109
Boats,2015-02-09T00:00:00.000,81675,Great Dane,,Dog,98109
Pablo,2015-06-02T00:00:00.000,349785,Domestic Shorthair,,Cat,98119
Josie,2015-03-26T00:00:00.000,900857,"Terrier, Silky",,Dog,98133
Teddy Bear,2015-05-11T00:00:00.000,337466,Pomeranian,,Dog,98178
Zoe,2015-04-01T00:00:00.000,141914,"Schnauzer, Miniature","Poodle, Miniature",Dog,98177
Elton,2015-01-15T00:00:00.000,892829,Domestic Medium Hair,,Cat,98107
Fergus,2015-02-17T00:00:00.000,952118,Domestic Shorthair,,Cat,98105
Owl,2015-02-04T00:00:00.000,69264,Domestic Shorthair,,Cat,98125
Zeek,2015-05-30T00:00:00.000,958662,"Retriever, Labrador","Retriever, Golden",Dog,98107
Reji,2015-04-21T00:00:00.000,16010,Xoloitzcuintli,,Dog,98103
Daisy,2015-01-13T00:00:00.000,24084,Maltese,"Poodle, Miniature",Dog,98126
Nigel,2015-03-07T00:00:00.000,17668,"Terrier, Soft Coated Wheaten",,Dog,98144
Buster,2015-01-15T00:00:00.000,14519,Border Collie,,Dog,98116
Lucy,2015-06-07T00:00:00.000,71720,"Terrier, West Highland White",,Dog,98133
Harker,2015-02-03T00:00:00.000,71986,Bichon Frise,,Dog,98109
Noki,2015-03-04T00:00:00.000,130041,"Terrier, Yorkshire","Poodle, Miniature",Dog,98105
Lillie,2015-03-05T00:00:00.000,141194,"Retriever, Golden",,Dog,98144
Sadie,2015-03-11T00:00:00.000,130213,Australian Shepherd,,Dog,98105
Shadow,2015-01-27T00:00:00.000,28035,Havanese,,Dog,98125
Peppy,2015-02-17T00:00:00.000,80875,"Dachshund, Standard Smooth Haired",,Dog,98125
Tita,2015-02-27T00:00:00.000,277092,Domestic Longhair,,Cat,98109
Micha,2015-03-20T00:00:00.000,889775,Lhasa Apso,Shih Tzu,Dog,98103
Zeep,2015-02-10T00:00:00.000,72001,Domestic Medium Hair,,Cat,98119
Zeus,2015-06-30T00:00:00.000,441974,"Terrier, Yorkshire",,Dog,98117
Olga,2015-01-20T00:00:00.000,26590,Australian Shepherd,,Dog,98112
Valyrian,2015-03-02T00:00:00.000,83745,Doberman Pinscher,,Dog,98125
Elle,2015-05-26T00:00:00.000,139132,"Retriever, Labrador",,Dog,98115
Zoe,2015-02-03T00:00:00.000,26741,Bernese Mountain Dog,,Dog,98103
Spider,2015-04-14T00:00:00.000,203265,Domestic Shorthair,,Cat,98118
Rudy,2015-06-27T00:00:00.000,274822,"Terrier, Yorkshire",,Dog,98117
Lidia,2015-06-04T00:00:00.000,282003,Xoloitzcuintli,,Dog,98112
Stella,2015-04-25T00:00:00.000,77562,Domestic Shorthair,,Cat,98126
Penelope,2015-01-26T00:00:00.000,960013,Xoloitzcuintli,,Dog,98109
Mattie,2015-05-07T00:00:00.000,358449,"Retriever, Golden","Poodle, Standard",Dog,98144
Scarlet,2015-02-03T00:00:00.000,26806,"Retriever, Labrador",Mix,Dog,98122
Rusty,2015-01-29T00:00:00.000,26950,"Retriever, Labrador",,Dog,98115
Tweet,2015-01-15T00:00:00.000,22511,Domestic Medium Hair,,Cat,98107
Ginny,2015-01-20T00:00:00.000,22439,Domestic Longhair,,Cat,98177
Murry,2015-02-11T00:00:00.000,27019,Siberian Husky,,Dog,98115
Eva,2015-02-07T00:00:00.000,26796,Greyhound,,Dog,98108
Hugo,2015-03-04T00:00:00.000,139260,"Retriever, Golden",,Dog,98125
Dexter,2015-01-21T00:00:00.000,962456,Domestic Shorthair,,Cat,98199
Barley,2015-05-29T00:00:00.000,282022,"Welsh Corgi, Pembroke",,Dog,98125
Libby,2015-06-02T00:00:00.000,282024,"Spaniel, English Cocker",,Dog,98136
,2015-03-17T00:00:00.000,959656,Border Collie,Mix,Dog,98107
Quda,2015-01-21T00:00:00.000,26920,"Retriever, Labrador",,Dog,98199
Rudy,2015-01-14T00:00:00.000,27055,"Poodle, Miniature",Terrier,Dog,98116
Boomer,2015-02-18T00:00:00.000,27173,"Retriever, Labrador",,Dog,98105
Luna,2015-01-14T00:00:00.000,23654,"Retriever, Flat-Coated",Mix,Dog,98103
Kai,2015-02-17T00:00:00.000,76529,Havanese,,Dog,98125
Lucy,2015-02-11T00:00:00.000,79496,"Terrier, Boston",,Dog,98122
Chloe,2015-05-11T00:00:00.000,82783,Basenji,Australian Cattle Dog,Dog,98199
Pete,2015-02-14T00:00:00.000,76856,Bichon Frise,"Poodle, Miniature",Dog,98136
