,id,name,host_response_time,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
855,18638163,"Charming Queen Anne Studio, Low Ceilings",within an hour,100%,2.0,Queen Anne,47.64129,-122.35467,Entire home,Entire home/apt,2,1.0,0.0,2.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Mini fridge"", ""Outdoor furniture"", ""Indoor fireplace"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Central air conditioning"", ""Stove"", ""TV with standard cable"", ""Washer"", ""Iron"", ""Body soap"", ""Carbon monoxide alarm"", ""Shampoo"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$112.00,2,120,13,231,11424.0,4.87,4.91,4.96,4.98,4.96,4.94,4.84,2.27
857,18672990,"Fantastic downtown loft, close to everything!",within an hour,99%,7.0,Downtown,47.60077,-122.33095,Entire loft,Entire home/apt,4,1.0,0.0,2.0,"[""Luggage dropoff allowed"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Paid dryer \u2013 In building"", ""TV"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Paid washer \u2013 In building"", ""Iron"", ""Carbon monoxide alarm"", ""Shampoo"", ""Elevator"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Long term stays allowed""]",$117.00,2,1125,17,291,18252.0,4.9,4.93,4.91,4.97,4.97,4.86,4.78,2.86
858,18673405,"Central 2 Bedroom, Stocked Kitchen",within an hour,96%,8.0,Central Area,47.60384,-122.31534,Entire rental unit,Entire home/apt,5,,2.0,,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Paid dryer \u2013 In building"", ""TV"", ""Room-darkening shades"", ""Bathtub"", ""Indoor fireplace"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Clothing storage"", ""Hangers"", ""Stove"", ""Paid washer \u2013 In building"", ""Patio or balcony"", ""Outlet covers"", ""Baby safety gates"", ""Cleaning products"", ""Iron"", ""Extra pillows and blankets"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Smart lock"", ""Shampoo"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Breakfast"", ""Board games"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Fireplace guards""]",,2,75,0,165,,4.79,4.82,4.85,4.97,4.98,4.73,4.72,1.64
859,18690558,"Musician's Room, walk UW, self check-in",within an hour,100%,6.0,University District,47.66495,-122.3079,Private room in home,Private room,1,1.5,1.0,1.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Clothing storage: wardrobe"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Mini fridge"", ""Electric stove"", ""Kitchen"", ""Wifi"", ""Free washer \u2013 In building"", ""Hangers"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Piano"", ""Free dryer \u2013 In building"", ""Pocket wifi"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets"", ""Paid parking lot off premises""]",$63.00,2,1125,2,110,2268.0,4.68,4.85,4.66,4.92,4.84,4.79,4.7,1.09
862,18809004,Urban Studios in West Seattle,within a few hours,,1.0,West Seattle,47.57315,-122.38696,Entire townhouse,Entire home/apt,4,1.5,1.0,2.0,"[""Luggage dropoff allowed"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Portable air conditioning"", ""Room-darkening shades"", ""Indoor fireplace"", ""Electric stove"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""40 inch HDTV with standard cable, Amazon Prime Video"", ""Patio or balcony"", ""Iron"", ""Bay view"", ""Ocean view"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""BBQ grill"", ""Shampoo"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Mountain view"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$152.00,30,90,30,58,0.0,4.71,4.84,4.76,4.89,4.95,4.84,4.85,0.57
864,18876264,Modern Downtown Top Floor Penthouse With Bay Views,within an hour,100%,63.0,Downtown,47.61578,-122.34728,Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,"[""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Dishes and silverware"", ""Portable air conditioning"", ""Free washer \u2013 In unit"", ""TV"", ""Room-darkening shades"", ""City skyline view"", ""Shared gym in building"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Crib"", ""Stove"", ""Shared hot tub"", ""Iron"", ""Sauna"", ""Bay view"", ""Ocean view"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""BBQ grill"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Elevator"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Marina view"", ""Harbor view"", ""Smoke alarm"", ""Paid parking off premises"", ""Pets allowed"", ""Mountain view"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Free street parking""]",$259.00,1,1000,22,133,12432.0,4.66,4.6,4.65,4.58,4.72,4.86,4.45,1.34
865,18878479,Modern home close to light rail,,,1.0,Rainier Valley,47.53307,-122.27842,Private room in home,Private room,2,1.5,1.0,1.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Central heating"", ""Free washer \u2013 In unit"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Window guards"", ""Hangers"", ""Crib"", ""Central air conditioning"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Stainless steel oven"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Lake access"", ""Lock on bedroom door"", ""Books and reading material"", ""Shower gel"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Coffee maker: drip coffee maker, french press"", ""Toaster"", ""Keypad"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Portable heater"", ""Hot water"", ""Clothing storage: closet and dresser"", ""Stainless steel gas stove"", ""Smoke alarm"", ""Bed linens"", ""Shared beach access"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee"", ""Piano"", ""Drying rack for clothing"", ""Blender"", ""Private patio or balcony"", ""Standalone high chair - always at the listing"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Private living room"", ""Board games"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Rice maker"", ""Extra pillows and blankets""]",$78.00,2,12,5,77,5148.0,4.91,4.88,4.82,4.96,4.95,4.84,4.78,0.78
866,18895355,"Nice Condo in Downtown Seattle, Belltown for 2",within an hour,99%,1.0,Downtown,47.61756134033203,-122.34635925292967,Entire condo,Entire home/apt,2,1.0,0.0,2.0,"[""Dishes and silverware"", ""TV"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Cleaning products"", ""Washer"", ""Iron"", ""Body soap"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Gym"", ""Shampoo"", ""Elevator"", ""Single level home"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Clothing storage: walk-in closet"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Drying rack for clothing"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Extra pillows and blankets""]",$111.00,3,62,11,493,28305.0,4.9,4.91,4.9,4.91,4.96,4.95,4.81,4.9
867,18910157,Private room upstairs in cozy Seattle home,within an hour,100%,7.0,Central Area,47.60979,-122.30542,Private room in home,Private room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Freezer"", ""Dishes and silverware"", ""TV"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Clothing storage"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Washer"", ""Iron"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Ethernet connection"", ""Lock on bedroom door"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee maker: pour-over coffee"", ""Coffee"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Heating"", ""Conditioner"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Rice maker""]",$85.00,30,1125,23,41,21675.0,4.98,4.98,4.95,4.98,4.98,4.93,4.88,0.41
868,18934440,Arboretum Retreat,within an hour,86%,1.0,Capitol Hill,47.64163,-122.29972,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Shampoo"", ""Keypad"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Garden view"", ""Microwave"", ""Refrigerator"", ""Cooking basics"", ""Oven"", ""Backyard"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Children\u2019s books and toys""]",$128.00,30,1125,23,119,15360.0,4.97,5.0,5.0,4.98,4.99,4.97,4.91,1.17
870,18945014,0.8 mile from Northgate link station for 1 with AC,,,4.0,Northgate,47.70115,-122.33686,Private room in home,Private room,1,1.0,1.0,1.0,"[""Baking sheet"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Paid dryer \u2013 In building"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Stove"", ""Paid washer \u2013 In building"", ""Cleaning products"", ""Iron"", ""Barbecue utensils"", ""AC - split type ductless system"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Books and reading material"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Game console"", ""Coffee"", ""Blender"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Clothing storage: closet"", ""Board games"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Rice maker"", ""Extra pillows and blankets""]",$150.00,2,14,30,31,0.0,4.94,4.94,4.94,5.0,5.0,4.84,4.84,0.31
871,18994983,Townhouse in Capitol Hill! W/Rooftop Deck Views!,within an hour,100%,1.0,Central Area,47.60351,-122.31424,Entire townhouse,Entire home/apt,8,2.0,3.0,3.0,"[""Luggage dropoff allowed"", ""Sound system"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""High chair"", ""Dishes and silverware"", ""Outdoor furniture"", ""Room-darkening shades"", ""City skyline view"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Washer"", ""Iron"", ""Body soap"", ""42 inch HDTV"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Smart lock"", ""Noise decibel monitors on property"", ""BBQ grill"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Stainless steel gas stove"", ""Smoke alarm"", ""Bed linens"", ""Private patio or balcony"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Window AC unit"", ""Heating"", ""Essentials"", ""Free street parking"", ""Extra pillows and blankets""]",$189.00,2,1125,6,369,37422.0,4.93,4.95,4.95,4.99,4.98,4.78,4.9,3.65
874,19125238,"Artistic 1-BR: King Bed, Kitchen & Rooftop Views",within an hour,100%,41.0,Central Area,47.59574,-122.30935,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Baking sheet"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Outdoor furniture"", ""Room-darkening shades"", ""Kitchen"", ""Wifi"", ""Dove body soap"", ""Private entrance"", ""Clothing storage"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Washer"", ""Iron"", ""Dining table"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Air conditioning"", ""Smart lock"", ""Books and reading material"", ""Shower gel"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Heating - split type ductless system"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Coffee"", ""Private patio or balcony"", ""Shared backyard"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Conditioner"", ""Wine glasses"", ""Stainless steel oven"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$135.00,1,90,20,163,34425.0,4.94,4.92,4.97,4.94,4.94,4.71,4.85,4.22
875,19140686,U-District Condo: Modern Vintage,within an hour,96%,6.0,University District,47.65873,-122.31768,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Baking sheet"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Bathtub"", ""Wifi"", ""Dryer"", ""Clothing storage"", ""Hangers"", ""Stove"", ""TV with standard cable"", ""Cleaning products"", ""Washer"", ""Iron"", ""Ping pong table"", ""Dining table"", ""Body soap"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Books and reading material"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee"", ""Blender"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$80.00,30,1125,22,24,0.0,4.88,4.92,4.46,4.83,4.96,4.96,4.92,0.24
876,19149347,"(201) Walk to UW, U Village Quiet 2B/2Baths RW *",within an hour,81%,202.0,University District,47.66485,-122.30468,Entire condo,Entire home/apt,6,2.0,2.0,2.0,"[""Free parking on premises"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Exterior security cameras on property"", ""Shampoo"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Paid parking on premises"", ""Heating"", ""Essentials"", ""Free street parking""]",$132.00,30,1125,0,25,7920.0,4.2,4.32,4.4,4.43,4.44,4.61,4.17,0.25
881,19272024,Garden Level View Apartment,,100%,1.0,West Seattle,47.54166,-122.38293,Entire rental unit,Entire home/apt,2,,1.0,,"[""Free parking on premises"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Stove"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Host greets you"", ""Fire extinguisher"", ""Pocket wifi"", ""TV with standard cable, Roku"", ""Microwave"", ""Refrigerator"", ""Cooking basics"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Heating"", ""Essentials"", ""Free street parking"", ""Extra pillows and blankets""]",,7,21,0,13,,4.92,4.92,4.85,4.85,5.0,4.69,4.77,0.13
883,19350610,Hardwood Clean Quiet Walk to UW (52,within an hour,81%,202.0,University District,47.65894,-122.31759,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Baking sheet"", ""Dedicated workspace"", ""Dishes and silverware"", ""Paid dryer \u2013 In building"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Stove"", ""Paid washer \u2013 In building"", ""Dining table"", ""Portable fans"", ""Carbon monoxide alarm"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Paid parking off premises"", ""50 inch HDTV with Roku"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Paid parking on premises"", ""Oven"", ""Clothing storage: closet"", ""Heating"", ""Wine glasses"", ""Essentials"", ""Rice maker"", ""Extra pillows and blankets""]",$113.00,30,1125,30,21,6780.0,4.14,4.45,4.52,4.85,4.75,4.65,4.15,0.21
884,19350639,"Short walk to UW, entire clean 1 bedroom apt (13)",within an hour,81%,202.0,University District,47.65714,-122.31727,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Luggage dropoff allowed"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Paid dryer \u2013 In building"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Stove"", ""Paid washer \u2013 In building"", ""Cleaning products"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Paid parking off premises"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Paid parking on premises"", ""Oven"", ""Clothing storage: closet"", ""Heating"", ""Essentials"", ""Free street parking""]",$95.00,30,1125,0,9,0.0,4.33,4.67,4.56,4.56,5.0,4.89,4.11,0.09
885,19366629,Jill's Hillman City Guest Suite,within an hour,100%,1.0,Rainier Valley,47.55227,-122.28773,Entire guest suite,Entire home/apt,2,,,,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Self check-in"", ""Dishes and silverware"", ""Mini fridge"", ""Bathtub"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Portable fans"", ""Carbon monoxide alarm"", ""Shampoo"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Window AC unit"", ""Heating"", ""Conditioner"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit""]",,2,14,0,144,,4.94,4.96,4.98,4.99,4.98,4.78,4.84,1.47
890,19390529,Columbia City Accessible entire Unit,within an hour,100%,3.0,Rainier Valley,47.56036,-122.29109,Entire home,Entire home/apt,3,,3.0,,"[""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Portable air conditioning"", ""Central heating"", ""Kitchen"", ""Wifi"", ""Iron"", ""55 inch HDTV with Roku"", ""Body soap"", ""Carbon monoxide alarm"", ""Smart lock"", ""Hair dryer"", ""Coffee maker"", ""Smoke alarm"", ""Washer \u2013\u00a0In building"", ""Pets allowed"", ""Mountain view"", ""Fire extinguisher"", ""Park view"", ""Free dryer \u2013 In building"", ""Private patio or balcony"", ""Private backyard"", ""Cooking basics"", ""Refrigerator"", ""Conditioner"", ""Essentials"", ""First aid kit""]",,30,730,0,20,,4.8,4.95,4.95,4.95,4.95,4.95,4.75,0.56
891,19419602,1 BR Modern Queen Anne Lux Townhome | Sleeps 4,,100%,26.0,Queen Anne,47.65024,-122.36857,Entire home,Entire home/apt,4,1.0,1.0,1.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Portable air conditioning"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""Bathtub"", ""Outdoor dining area"", ""Kitchen"", ""Private entrance"", ""Ceiling fan"", ""Stainless steel electric stove"", ""Hangers"", ""Crib"", ""Baby safety gates"", ""Cleaning products"", ""Iron"", ""Fast wifi \u2013 867 Mbps"", ""Dining table"", ""Portable fans"", ""Carbon monoxide alarm"", ""Shared backyard \u2013 Not fully fenced"", ""Long term stays allowed"", ""Ethernet connection"", ""Smart lock"", ""BBQ grill"", ""Books and reading material"", ""Shower gel"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Laundromat nearby"", ""Marina view"", ""Harbor view"", ""Neutrogena body soap"", ""Smoke alarm"", ""Canal view"", ""Bed linens"", ""Pets allowed"", ""Mountain view"", ""Bidet"", ""65 inch HDTV with Amazon Prime Video, Chromecast, Disney+, HBO Max, Hulu, Netflix, premium cable, standard cable"", ""Fire extinguisher"", ""Coffee"", ""Private patio or balcony"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Board games"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Barbecue utensils"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$178.00,180,1125,30,82,45390.0,4.89,4.9,4.89,4.88,4.93,4.88,4.79,0.94
892,19438023,Immaculate 2 BR Under the Space Needle & Key Arena,,,2.0,Queen Anne,47.621,-122.35563,Entire condo,Entire home/apt,5,2.0,2.0,2.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Bathtub"", ""Indoor fireplace"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Shampoo"", ""Elevator"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$137.00,30,1125,0,62,0.0,4.79,4.79,4.87,4.9,4.95,4.92,4.68,0.62
894,19501685,"Close to everything: 2 beds/1 bath, very private!",within an hour,98%,2.0,Central Area,47.60489,-122.30539,Private room in home,Private room,4,1.0,2.0,2.0,"[""Luggage dropoff allowed"", ""Self check-in"", ""Mini fridge"", ""TV"", ""Outdoor furniture"", ""Room-darkening shades"", ""Bathtub"", ""Outdoor dining area"", ""Wifi"", ""Free washer \u2013 In building"", ""Dryer"", ""Window guards"", ""Hammock"", ""Hangers"", ""Crib"", ""Cleaning products"", ""Iron"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""BBQ grill"", ""Books and reading material"", ""Shower gel"", ""Shampoo"", ""Keypad"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Hot water"", ""Coffee maker"", ""Shared patio or balcony"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Heating"", ""Clothing storage: walk-in closet and closet"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$84.00,2,90,0,131,5544.0,4.85,4.82,4.83,4.93,4.93,4.88,4.67,1.31
896,19528362,Modern Townhouse in Seattle with Rooftop Deck,within an hour,99%,10.0,Central Area,47.595692,-122.299484,Entire home,Entire home/apt,5,2.5,2.0,3.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Mini fridge"", ""Outdoor furniture"", ""Room-darkening shades"", ""City skyline view"", ""Bathtub"", ""Outdoor dining area"", ""HDTV with Amazon Prime Video, Apple TV, Fire TV, Hulu, Netflix, Disney+, HBO Max"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Ceiling fan"", ""Dryer"", ""Hangers"", ""Stove"", ""Outlet covers"", ""Cleaning products"", ""Washer"", ""Iron"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Ethernet connection"", ""Air conditioning"", ""BBQ grill"", ""Books and reading material"", ""Shower gel"", ""Exterior security cameras on property"", ""Gym"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Mountain view"", ""Fire extinguisher"", ""Coffee"", ""Exercise equipment: free weights, stationary bike"", ""Blender"", ""Private patio or balcony"", ""Garden view"", ""Microwave"", ""Refrigerator"", ""Cooking basics"", ""Dishwasher"", ""Oven"", ""Board games"", ""Heating"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Barbecue utensils"", ""Extra pillows and blankets""]",$159.00,2,150,11,64,16218.0,4.77,4.8,4.66,4.98,4.91,4.83,4.73,0.64
